Number of Clusters,Adjusted Rand Score,Silhouette Score
2,0.038818814783966774,0.4697417
3,0.03521467285736529,0.32955527
4,0.03930908130510897,0.3353491
5,0.04804601763351061,0.29779145
6,0.04554297271371437,0.3201569
7,0.04151219154483531,0.31256476
8,0.044217050417625414,0.32071912
9,0.0440162762227342,0.2973895
10,0.04613672834773227,0.32271352
11,0.04227367360529443,0.29294303
12,0.0399936917122865,0.3024503
13,0.04172002141541494,0.27708206
14,0.03607706329580565,0.25035408
15,0.036825936749788,0.27111176
16,0.038560989102052856,0.2836069
17,0.03776223108097588,0.28051674
18,0.03262228256977816,0.2598369
19,0.03431088598750379,0.28643116
20,0.03813278341452985,0.2937257
21,0.03666168759606525,0.27410963
