Number of Clusters,Adjusted Rand Score,Silhouette Score
2,0.09557355110216352,0.3463367
3,0.10420744433857405,0.27313906
4,0.29562827426729715,0.3641691
5,0.4628854958511555,0.40717956
6,0.5354339994268656,0.40613222
7,0.5797542467096519,0.41564503
8,0.669835815140843,0.44380873
9,0.705958192555102,0.44694415
10,0.6832136315826942,0.45210224
11,0.7009888038213637,0.4589459
12,0.6953444857161347,0.46055636
13,0.6684691381666674,0.4592769
14,0.6432550489101436,0.46287355
15,0.6203876561632929,0.45737574
16,0.5803445049989915,0.43130434
17,0.5412955693744558,0.42284584
18,0.5405108591511896,0.43272206
19,0.5160707984705795,0.43911886
20,0.5026214866202845,0.43152988
21,0.48845555892400594,0.42766163
